Run,Assay Type,AvgSpotLen,BioProject,BioSample,BioSampleModel,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,island,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,replicate,sample_acc,Sample Name,SRA Study
SRR8504044,AMPLICON,602,PRJNA517736,SAMN10843451,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308167,Malaysia,Asia,Malaysia,Enhalus acoroides,Illumina MiSeq,Per,soil,5.886142 N 102.741075 E,EA_Per_Soil_07_ITS1,PAIRED,PCR,GENOMIC,31,21,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,7,SRS4305674,EA_Per_Soil_07,SRP182864
SRR8504045,AMPLICON,602,PRJNA517736,SAMN10843452,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308166,Malaysia,Asia,Malaysia,Enhalus acoroides,Illumina MiSeq,Per,soil,5.886142 N 102.741075 E,EA_Per_Soil_08_ITS1,PAIRED,PCR,GENOMIC,46,30,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,8,SRS4305673,EA_Per_Soil_08,SRP182864
SRR8504046,AMPLICON,602,PRJNA517736,SAMN10843453,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308165,Malaysia,Asia,Malaysia,Enhalus acoroides,Illumina MiSeq,Per,soil,5.886142 N 102.741075 E,EA_Per_Soil_09_ITS1,PAIRED,PCR,GENOMIC,32,21,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,9,SRS4305672,EA_Per_Soil_09,SRP182864
SRR8504047,AMPLICON,602,PRJNA517736,SAMN10843429,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308164,Malaysia,Asia,Malaysia,Enhalus acoroides,Illumina MiSeq,Per,Rhizome,5.886142 N 102.741075 E,EA_Per_Rh_05_ITS1,PAIRED,PCR,GENOMIC,24,16,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,5,SRS4305671,EA_Per_Rh_05,SRP182864
SRR8504048,AMPLICON,602,PRJNA517736,SAMN10843267,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308163,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,Sent,Rhizome,1.258297 N 103.807229 E,EA_Sent_Rh_08_ITS1,PAIRED,PCR,GENOMIC,32,21,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,8,SRS4305670,EA_Sent_Rh_08,SRP182864
SRR8504049,AMPLICON,602,PRJNA517736,SAMN10843448,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308162,Malaysia,Asia,Malaysia,Enhalus acoroides,Illumina MiSeq,Per,soil,5.886142 N 102.741075 E,EA_Per_Soil_04_ITS1,PAIRED,PCR,GENOMIC,15,10,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,4,SRS4305669,EA_Per_Soil_04,SRP182864
SRR8504050,AMPLICON,602,PRJNA517736,SAMN10843357,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308161,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,MS,root,1.331803 N 103.604591 E,EA_MS_Ro_06_ITS1,PAIRED,PCR,GENOMIC,12,8,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,6,SRS4305668,EA_MS_Ro_06,SRP182864
SRR8504051,AMPLICON,602,PRJNA517736,SAMN10843356,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308160,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,MS,root,1.331803 N 103.604591 E,EA_MS_Ro_05_ITS1,PAIRED,PCR,GENOMIC,34,22,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,5,SRS4305667,EA_MS_Ro_05,SRP182864
SRR8504052,AMPLICON,602,PRJNA517736,SAMN10843262,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308159,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,Sent,Rhizome,1.258297 N 103.807229 E,EA_Sent_Rh_04_ITS1,PAIRED,PCR,GENOMIC,22,14,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,4,SRS4305666,EA_Sent_Rh_04,SRP182864
SRR8504053,AMPLICON,602,PRJNA517736,SAMN10843351,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308158,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,MS,Rhizome,1.331803 N 103.604591 E,EA_MS_Rh_10_ITS1,PAIRED,PCR,GENOMIC,9,6,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,10,SRS4305665,EA_MS_Rh_10,SRP182864
SRR8504054,AMPLICON,602,PRJNA517736,SAMN10843350,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308157,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,MS,Rhizome,1.331803 N 103.604591 E,EA_MS_Rh_09_ITS1,PAIRED,PCR,GENOMIC,7,4,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,9,SRS4305664,EA_MS_Rh_09,SRP182864
SRR8504055,AMPLICON,602,PRJNA517736,SAMN10843349,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308156,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,MS,Rhizome,1.331803 N 103.604591 E,EA_MS_Rh_08_ITS1,PAIRED,PCR,GENOMIC,23,15,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,8,SRS4305663,EA_MS_Rh_08,SRP182864
SRR8504056,AMPLICON,602,PRJNA517736,SAMN10843348,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308155,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,MS,Rhizome,1.331803 N 103.604591 E,EA_MS_Rh_07_ITS1,PAIRED,PCR,GENOMIC,11,7,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,7,SRS4305662,EA_MS_Rh_07,SRP182864
SRR8504057,AMPLICON,602,PRJNA517736,SAMN10843355,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308154,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,MS,root,1.331803 N 103.604591 E,EA_MS_Ro_04_ITS1,PAIRED,PCR,GENOMIC,9,6,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,4,SRS4305661,EA_MS_Ro_04,SRP182864
SRR8504058,AMPLICON,602,PRJNA517736,SAMN10843354,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308153,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,MS,root,1.331803 N 103.604591 E,EA_MS_Ro_03_ITS1,PAIRED,PCR,GENOMIC,26,16,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,3,SRS4305660,EA_MS_Ro_03,SRP182864
SRR8504059,AMPLICON,602,PRJNA517736,SAMN10843353,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308152,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,MS,root,1.331803 N 103.604591 E,EA_MS_Ro_02_ITS1,PAIRED,PCR,GENOMIC,9,6,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,2,SRS4305659,EA_MS_Ro_02,SRP182864
SRR8504060,AMPLICON,602,PRJNA517736,SAMN10843352,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308151,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,MS,root,1.331803 N 103.604591 E,EA_MS_Ro_01_ITS1,PAIRED,PCR,GENOMIC,16,10,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,1,SRS4305658,EA_MS_Ro_01,SRP182864
SRR8504061,AMPLICON,602,PRJNA517736,SAMN10843233,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308150,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,root,1.258905 N 103.754918 E,EA_CY_Ro_05_ITS1,PAIRED,PCR,GENOMIC,40,25,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,5,SRS4305657,EA_CY_Ro_05,SRP182864
SRR8504062,AMPLICON,602,PRJNA517736,SAMN10843232,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308149,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,BLANK,Blank,1.258905 N 103.754918 E,EA_BLANK_01_ITS1,PAIRED,PCR,GENOMIC,1,0,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,BLANK,SRS4305656,EA_BLANK_01,SRP182864
SRR8504063,AMPLICON,602,PRJNA517736,SAMN10843235,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308148,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,root,1.258905 N 103.754918 E,EA_CY_Ro_07_ITS1,PAIRED,PCR,GENOMIC,33,21,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,7,SRS4305655,EA_CY_Ro_07,SRP182864
SRR8504064,AMPLICON,602,PRJNA517736,SAMN10843234,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308147,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,root,1.258905 N 103.754918 E,EA_CY_Ro_06_ITS1,PAIRED,PCR,GENOMIC,32,20,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,6,SRS4305654,EA_CY_Ro_06,SRP182864
SRR8504065,AMPLICON,602,PRJNA517736,SAMN10843229,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308146,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,root,1.258905 N 103.754918 E,EA_CY_Ro_02_ITS1,PAIRED,PCR,GENOMIC,43,27,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,2,SRS4305653,EA_CY_Ro_02,SRP182864
SRR8504066,AMPLICON,602,PRJNA517736,SAMN10843228,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308145,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,root,1.258905 N 103.754918 E,EA_CY_Ro_01_ITS1,PAIRED,PCR,GENOMIC,17,10,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,1,SRS4305652,EA_CY_Ro_01,SRP182864
SRR8504067,AMPLICON,602,PRJNA517736,SAMN10843231,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308144,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,root,1.258905 N 103.754918 E,EA_CY_Ro_04_ITS1,PAIRED,PCR,GENOMIC,12,8,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,4,SRS4305651,EA_CY_Ro_04,SRP182864
SRR8504068,AMPLICON,602,PRJNA517736,SAMN10843230,Metagenome or environmental,UTAH VALLEY UNIVERSITY,2018-10-10,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5308143,Singapore,Asia,Singapore,Enhalus acoroides,Illumina MiSeq,CY,root,1.258905 N 103.754918 E,EA_CY_Ro_03_ITS1,PAIRED,PCR,GENOMIC,24,15,plant metagenome,ILLUMINA,2019-01-29T00:00:00Z,3,SRS4305650,EA_CY_Ro_03,SRP182864
